Yemen,601,2063,0.2913233155598643
Mexico,95842,978531,0.09794477640463102
Peru,87542,923527,0.09479094818018315
Sudan,1116,14301,0.07803650094398994
Ecuador,12849,175711,0.0731257576361184
Bolivia,8808,142664,0.0617394717658274
Egypt,6394,109654,0.05831068634067157
Iran,39202,703288,0.05574103354529012
United Kingdom,68281,1237166,0.05519146177635014
Syria,325,6352,0.05116498740554156
China,4742,97902,0.04843619129333415
Italy,42330,995463,0.0425229265176104
Canada,10709,277808,0.03854820595519207
Sweden,6057,162240,0.0373335798816568
Afghanistan,1574,42297,0.037213041114027
Mali,137,3745,0.03658210947930574
Nicaragua,157,4480,0.03504464285714286
Guatemala,3832,112129,0.03417492352558214
Indonesia,14761,444348,0.033219458622521084
Gambia,122,3696,0.03300865800865801
Australia,907,27671,0.032777998626721115
Algeria,2077,63446,0.03273650033099013
Malawi,185,5953,0.031076768016126324
Sierra Leone,74,2386,0.03101424979044426
Kosovo,773,25388,0.030447455490783048
Guyana,135,4530,0.029801324503311258
Ireland,1963,65889,0.02979252986082654
Zimbabwe,255,8610,0.029616724738675958
North Macedonia,1186,41222,0.028771044587841445
Colombia,33128,1155356,0.028673413216359286
El Salvador,1020,35684,0.028584239435040914
